english,russian,sentence,difficulty
school,школа,My little sister goes to **school**.,1
university,университет,She studies at a famous **university**.,2
college,колледж,He dropped out of **college** last year.,2
kindergarten,детский сад,My son loves his **kindergarten**.,2
classroom,классная комната,The **classroom** was full of students.,2
library,библиотека,I borrowed three books from the **library**.,2
lab,лаборатория,We did experiments in the chemistry **lab**.,3
hallway,коридор,Students ran through the **hallway** loudly.,3
playground,площадка,Kids were playing on the **playground**.,2
cafeteria,столовая,Let's have lunch in the **cafeteria**.,3
dorm,общежитие,He shares a **dorm** with two roommates.,3
campus,кампус,The **campus** has beautiful old buildings.,3
lecture,лекция,Today's **lecture** was really interesting.,2
student,студент,Every **student** must bring a notebook.,1
pupil,ученик,The **pupil** raised his hand quickly.,2
classmate,одноклассник,My **classmate** helped me with homework.,2
professor,профессор,The **professor** explained the theory clearly.,2
principal,директор,The **principal** called my parents yesterday.,3
dean,декан,The **dean** gave a welcome speech.,4
tutor,репетитор,I hired a math **tutor** for summer.,3
mentor,наставник,She became my **mentor** last year.,3
librarian,библиотекарь,The **librarian** recommended a great novel.,3
freshman,первокурсник,He is just a **freshman** this year.,3
graduate,выпускник,She is a **graduate** of Harvard.,3
math,математика,I love solving **math** problems.,1
algebra,алгебра,We started learning **algebra** last week.,3
geometry,геометрия,**Geometry** is about shapes and angles.,3
biology,биология,She wants to major in **biology**.,2
chemistry,химия,**Chemistry** class was cancelled today.,2
physics,физика,He failed his **physics** exam twice.,2
history,история,Ancient **history** is my favorite subject.,2
geography,география,We studied African **geography** today.,2
literature,литература,English **literature** includes many classics.,3
grammar,грамматика,Russian **grammar** is quite difficult.,2
vocabulary,словарный запас,Build your **vocabulary** every single day.,3
art,рисование,Her **art** teacher is very kind.,1
music,музыка,**Music** class is every Tuesday morning.,1
subject,предмет,What **subject** do you like most?,2
subject,подвергать,Don't **subject** him to such pressure.,4
pen,ручка,Can I borrow your **pen** please?,1
pencil,карандаш,My **pencil** broke during the test.,1
eraser,ластик,I need an **eraser** for this mistake.,2
ruler,линейка,Draw a straight line with a **ruler**.,2
ruler,правитель,The **ruler** made harsh new laws.,3
marker,маркер,She used a red **marker** on the board.,3
