english,russian,sentence,difficulty
vote,голосовать,Citizens **vote** on election day.,1
law,закон,The new **law** protects workers.,1
leader,лидер,The **leader** spoke to citizens.,1
country,страна,Our **country** held fair elections.,1
president,президент,The **president** signed the document.,1
people,народ,The **people** chose their leaders.,1
news,новости,The **news** reported on elections.,1
rule,правило,Every **rule** must be clear.,1
power,власть,He gained political **power** quickly.,1
flag,флаг,The **flag** hangs above the building.,1
voter,избиратель,Every **voter** has equal rights.,2
election,выборы,The **election** happens every four years.,2
party,партия,She joined a political **party**.,2
support,поддержка,The mayor needs public **support**.,2
poll,опрос,The **poll** showed mixed opinions.,2
debate,дебаты,The **debate** lasted two hours.,2
choice,выбор,Voters made a clear **choice**.,2
voice,голос,Every citizen has a **voice**.,2
freedom,свобода,They fought for their **freedom**.,2
nation,нация,The **nation** celebrated its anniversary.,2
union,союз,Many countries formed a **union**.,2
peace,мир,The treaty brought lasting **peace**.,2
war,война,The **war** ended last year.,2
army,армия,The **army** defends the borders.,2
mayor,мэр,The **mayor** opened the library.,2
court,суд,The **court** announced its decision.,2
judge,судья,The **judge** read the verdict aloud.,2
crime,преступление,The **crime** rate dropped sharply.,2
police,полиция,The **police** protect public order.,2
citizen,гражданин,Every **citizen** pays taxes.,2
public,общественный,The park is a **public** space.,2
private,частный,This is a **private** meeting.,2
government,правительство,The **government** raised the budget.,2
speech,речь,The mayor gave a short **speech**.,2
rally,митинг,A small **rally** gathered downtown.,2
state,штат,Each **state** has its own laws.,3
right,право,Every worker has this **right**.,3
bill,законопроект,The **bill** passed by a vote.,3
term,срок,His **term** ends next spring.,3
office,должность,She holds high public **office**.,3
cabinet,кабинет,The **cabinet** discussed new policies.,3
pledge,обещание,The candidate made a clear **pledge**.,3
motion,предложение,The **motion** was rejected today.,3
campaign,кампания,Her **campaign** focused on health.,3
policy,политика,The new **policy** helps families.,3
senate,сенат,The **senate** approved the law.,3
council,совет,The city **council** meets weekly.,3
candidate,кандидат,The **candidate** answered tough questions.,3
ballot,бюллетень,She marked her **ballot** carefully.,3
treaty,договор,Both nations signed the **treaty**.,3
border,граница,Guards patrol the **border**.,3
embassy,посольство,The **embassy** opened early today.,3
protest,протест,The **protest** was peaceful.,3
reform,реформа,The new **reform** helps students.,3
minister,министр,The **minister** visited the factory.,3
majority,большинство,The **majority** voted in favor.,3
minority,меньшинство,The **minority** expressed its concerns.,3
opposition,оппозиция,The **opposition** criticized the budget.,3
consent,согласие,The law needs public **consent**.,3
equality,равенство,They marched for social **equality**.,3
justice,правосудие,The court delivered true **justice**.,3
poverty,бедность,The region faces serious **poverty**.,3
refugee,беженец,A **refugee** family arrived safely.,3
summit,саммит,The global **summit** starts Monday.,3
alliance,альянс,The **alliance** includes many countries.,3
legislation,законодательство,New **legislation** protects minors.,4
referendum,референдум,The country held a **referendum**.,4
constitution,конституция,The **constitution** guarantees freedoms.,4
amendment,поправка,They proposed a small **amendment**.,4
jurisdiction,юрисдикция,This case falls outside our **jurisdiction**.,4
parliament,парламент,The **parliament** debated the law.,4
democracy,демократия,True **democracy** needs active voters.,4
republic,республика,The **republic** turned fifty years old.,4
monarchy,монархия,The **monarchy** lasted many centuries.,4
diplomat,дипломат,A skilled **diplomat** resolved the issue.,4
diplomacy,дипломатия,Careful **diplomacy** prevented the conflict.,4
sanction,санкция,The new **sanction** limits trade.,4
regime,режим,The **regime** fell peacefully.,4
turnout,явка,Voter **turnout** was very high.,4
incumbent,действующий,The **incumbent** won the election.,4
lobby,лобби,A powerful **lobby** influenced the bill.,4
veto,вето,The president used his **veto**.,4
treason,измена,The trial involved **treason** charges.,4
verdict,вердикт,The jury reached a **verdict**.,4
tribunal,трибунал,The **tribunal** heard the case.,4
delegate,делегат,Each **delegate** received a badge.,4
petition,петиция,They signed a public **petition**.,4
sovereignty,суверенитет,The nation defended its **sovereignty**.,4
coalition,коалиция,The parties formed a **coalition**.,4
mandate,мандат,The new leader has a clear **mandate**.,4
suffrage,избирательное право,Women gained **suffrage** long ago.,5
impeachment,импичмент,The **impeachment** debate lasted days.,5
filibuster,затягивание,The **filibuster** delayed the vote.,5
gerrymander,перекройка округов,Critics called it a **gerrymander**.,5
statute,статут,The old **statute** still applies.,5
autocracy,автократия,An **autocracy** limits personal freedom.,5
plebiscite,плебисцит,The region held a **plebiscite**.,5
demagogue,демагог,A clever **demagogue** misled voters.,5
ideology,идеология,Each party has its **ideology**.,5
bureaucracy,бюрократия,The **bureaucracy** slowed the process.,5
senator,сенатор,The **senator** gave a short speech today.,3
governor,губернатор,Our **governor** signed the new education law.,3
